name,time,Status
Baby_status,1710006145512486231,not crying
Baby_status,1710006149908833760,not crying
Baby_status,1710006154890075682,not crying
Baby_status,1710006159844132968,not crying
Baby_status,1710006165542471043,not crying
Baby_status,1710006169943657710,not crying
Baby_status,1710006174890186356,not crying
Baby_status,1710006179914320324,not crying
Baby_status,1710006185533886369,not crying
Baby_status,1710006189891825769,not crying
Baby_status,1710006194934246842,not crying
Baby_status,1710006199946449485,not crying
Baby_status,1710006205554069833,not crying
Baby_status,1710006209964639872,not crying
Baby_status,1710006215028414714,not crying
Baby_status,1710006219951565608,not crying
Baby_status,1710006225536334042,not crying
Baby_status,1710006229878835538,not crying
Baby_status,1710006234904366116,not crying
Baby_status,1710006239870208724,not crying
Baby_status,1710006245552174788,not crying
Baby_status,1710006249992282498,not crying
Baby_status,1710006255005046016,not crying
Baby_status,1710006259998543981,not crying
Baby_status,1710006265558815016,not crying
Baby_status,1710006269914033712,not crying
Baby_status,1710006274895794863,not crying
Baby_status,1710006279907059517,not crying
Baby_status,1710006285568433582,not crying
Baby_status,1710006289904339919,not crying
Baby_status,1710006294918663958,not crying
Baby_status,1710006299978883268,not crying
Baby_status,1710006305569162755,not crying
Baby_status,1710006309937381039,not crying
Baby_status,1710006315068536488,not crying
Baby_status,1710006320001604266,not crying
Baby_status,1710006325568863075,crying
Baby_status,1710006329964531133,crying
Baby_status,1710006335133156014,crying
Baby_status,1710006340040331712,not crying
Baby_status,1710006345587817800,crying
Baby_status,1710006350085878300,crying
Baby_status,1710006355098402156,not crying
Baby_status,1710006360103668125,crying
Baby_status,1710006365746609806,crying
Baby_status,1710006369998236971,crying
Baby_status,1710006374993438249,crying
Baby_status,1710006380115407186,not crying
Baby_status,1710006385815678804,not crying
Baby_status,1710006389983465689,not crying
Baby_status,1710006394901470573,not crying
Baby_status,1710006399943486459,not crying
Baby_status,1710006405592852276,not crying
Baby_status,1710006409953182239,not crying
Baby_status,1710006414914548195,not crying
Baby_status,1710006419911743985,not crying
Baby_status,1710006425589364728,not crying
Baby_status,1710006429896362953,not crying
Baby_status,1710006434935981636,not crying
Baby_status,1710006439963927706,not crying
Baby_status,1710006445596584655,not crying
Baby_status,1710006450044520087,not crying
Baby_status,1710006454970770043,not crying
Baby_status,1710006460068233867,not crying
Baby_status,1710006465627223784,not crying
Baby_status,1710006469982596407,not crying
Baby_status,1710006474977931097,not crying
Baby_status,1710006479960863020,not crying
Baby_status,1710006485737098956,not crying
Baby_status,1710006489999795176,not crying
Baby_status,1710006495029988202,not crying
Baby_status,1710006499998355081,not crying
Baby_status,1710006505651379144,not crying
Baby_status,1710006510092089477,not crying
Baby_status,1710006514981762351,not crying
Baby_status,1710006520073280296,not crying
Baby_status,1710006525656316163,not crying
Baby_status,1710006530001597705,not crying
Baby_status,1710006535143952887,not crying
Baby_status,1710006540021694042,not crying
Baby_status,1710006545654858090,not crying
Baby_status,1710006550013469909,not crying
Baby_status,1710006555047314155,not crying
Baby_status,1710006560001269550,not crying
Baby_status,1710006565662131695,not crying
Baby_status,1710006570118845806,not crying
Baby_status,1710006575114601070,not crying
Baby_status,1710006580214380893,not crying
Baby_status,1710006585689141626,not crying
Baby_status,1710006590071154687,not crying
Baby_status,1710006595045864925,not crying
Baby_status,1710006600113605069,not crying
Baby_status,1710006605701126692,not crying
Baby_status,1710006610010944735,not crying
Baby_status,1710006615015496967,not crying
Baby_status,1710006620009332829,not crying
Baby_status,1710006625953974544,not crying
Baby_status,1710006630090638108,not crying
Baby_status,1710006635084962880,not crying
Baby_status,1710006640228998727,not crying
Baby_status,1710006645702093762,not crying
Baby_status,1710006650078637068,not crying
Baby_status,1710006655071475967,not crying
Baby_status,1710006660142387112,not crying
Baby_status,1710006665715162818,not crying
Baby_status,1710006670182454635,not crying
Baby_status,1710006675187600219,not crying
Baby_status,1710006680068583136,not crying
Baby_status,1710006685931085767,not crying
Baby_status,1710006690110066813,not crying
Baby_status,1710006695064541526,not crying
Baby_status,1710006700124929176,not crying
Baby_status,1710006705726685998,not crying
