name,time,not_ideal_temp_conditions
Not_Ideal_Env,1710006297753053983,1
Not_Ideal_Env,1710006302749811060,1
Not_Ideal_Env,1710006307764328917,1
Not_Ideal_Env,1710006312759763719,1
Not_Ideal_Env,1710006317761224445,1
Not_Ideal_Env,1710006322755677752,1
Not_Ideal_Env,1710006327759381763,1
Not_Ideal_Env,1710006332774617305,1
Not_Ideal_Env,1710006337771499059,1
Not_Ideal_Env,1710006342762636566,1
Not_Ideal_Env,1710006347767128097,1
Not_Ideal_Env,1710006352761671282,1
Not_Ideal_Env,1710006357774718993,1
Not_Ideal_Env,1710006362762987573,1
Not_Ideal_Env,1710006367775153423,1
Not_Ideal_Env,1710006372772402400,1
Not_Ideal_Env,1710006377787500125,1
Not_Ideal_Env,1710006382838204091,1
Not_Ideal_Env,1710006387785947464,1
Not_Ideal_Env,1710006392776953200,1
Not_Ideal_Env,1710006397780344992,1
Not_Ideal_Env,1710006402776533636,1
Not_Ideal_Env,1710006407831889276,1
Not_Ideal_Env,1710006412779888400,1
Not_Ideal_Env,1710006417787232905,1
Not_Ideal_Env,1710006422787159209,1
Not_Ideal_Env,1710006427795220803,1
Not_Ideal_Env,1710006432827311437,1
Not_Ideal_Env,1710006437780913738,1
Not_Ideal_Env,1710006442781410629,1
Not_Ideal_Env,1710006447790163382,1
Not_Ideal_Env,1710006452819892059,1
Not_Ideal_Env,1710006457806256560,1
Not_Ideal_Env,1710006462821408885,1
Not_Ideal_Env,1710006467818572524,1
Not_Ideal_Env,1710006472829295757,1
Not_Ideal_Env,1710006477813813766,1
Not_Ideal_Env,1710006482811937567,1
Not_Ideal_Env,1710006487859096055,1
Not_Ideal_Env,1710006492826161631,1
Not_Ideal_Env,1710006497839459819,1
Not_Ideal_Env,1710006502824708779,1
Not_Ideal_Env,1710006507875520600,1
Not_Ideal_Env,1710006512849549707,1
Not_Ideal_Env,1710006517829155725,1
Not_Ideal_Env,1710006522869420766,1
Not_Ideal_Env,1710006527923288578,1
Not_Ideal_Env,1710006532863111714,1
Not_Ideal_Env,1710006537889310507,1
Not_Ideal_Env,1710006542851951021,1
Not_Ideal_Env,1710006547863738512,1
Not_Ideal_Env,1710006552855584040,1
Not_Ideal_Env,1710006557869219186,1
Not_Ideal_Env,1710006562852370320,1
Not_Ideal_Env,1710006567864018290,1
Not_Ideal_Env,1710006572881628222,1
Not_Ideal_Env,1710006577884002372,1
Not_Ideal_Env,1710006582877165930,1
Not_Ideal_Env,1710006587867077834,1
Not_Ideal_Env,1710006593903995951,1
Not_Ideal_Env,1710006597862805138,1
Not_Ideal_Env,1710006602867211324,1
Not_Ideal_Env,1710006607894526083,1
Not_Ideal_Env,1710006612870457990,1
Not_Ideal_Env,1710006617891808710,1
Not_Ideal_Env,1710006622877862203,1
Not_Ideal_Env,1710006627887583485,1
Not_Ideal_Env,1710006632884468040,1
Not_Ideal_Env,1710006637905414497,1
Not_Ideal_Env,1710006642881864435,1
Not_Ideal_Env,1710006647882397837,1
Not_Ideal_Env,1710006652892365168,1
Not_Ideal_Env,1710006657938348217,1
Not_Ideal_Env,1710006662909588803,1
Not_Ideal_Env,1710006667904076138,1
Not_Ideal_Env,1710006672902972679,1
Not_Ideal_Env,1710006677908552116,1
Not_Ideal_Env,1710006682909868652,1
Not_Ideal_Env,1710006687908994102,1
Not_Ideal_Env,1710006692910316057,1
Not_Ideal_Env,1710006697907472559,1
Not_Ideal_Env,1710006702921867078,1
Not_Ideal_Env,1710006707909392624,1
