name,time,Propane
Pro_pane,1710060488295828071,1.00
Pro_pane,1710060493296027372,1.00
Pro_pane,1710060498309091531,1.00
Pro_pane,1710060503310014943,1.00
Pro_pane,1710060508307493698,1.00
Pro_pane,1710060513309547686,0.00
Pro_pane,1710060518305855093,2.00
Pro_pane,1710060523313232261,0.00
Pro_pane,1710060528303606663,0.00
Pro_pane,1710060533311416552,1.00
Pro_pane,1710060538313757418,2.00
Pro_pane,1710060543309463377,1.00
Pro_pane,1710060548325946801,1.00
Pro_pane,1710060553310926543,2.00
Pro_pane,1710060558306768085,1.00
Pro_pane,1710060563310409920,2.00
Pro_pane,1710060568306940970,2.00
Pro_pane,1710060573315089237,1.00
Pro_pane,1710060578316626878,1.00
Pro_pane,1710060583305898797,1.00
Pro_pane,1710060588317816932,0.00
Pro_pane,1710060593314274091,0.00
Pro_pane,1710060598316645718,1.00
Pro_pane,1710060603311355060,0.00
Pro_pane,1710060608310997622,0.00
Pro_pane,1710060613316785749,2.00
Pro_pane,1710060618320423305,2.00
Pro_pane,1710060623320044305,1.00
Pro_pane,1710060628326644672,1.00
Pro_pane,1710060633320696049,0.00
Pro_pane,1710060638318077269,1.00
Pro_pane,1710060643325048793,0.00
Pro_pane,1710060648320096798,0.00
Pro_pane,1710060653321369384,0.00
Pro_pane,1710060658317671048,2.00
Pro_pane,1710060663318260266,1.00
Pro_pane,1710060668320981314,2.00
Pro_pane,1710060673320723314,1.00
Pro_pane,1710060678326952139,1.00
Pro_pane,1710060683323446251,0.00
Pro_pane,1710060688329637341,2.00
Pro_pane,1710060693334768551,1.00
Pro_pane,1710060698324247977,1.00
Pro_pane,1710060703333016087,2.00
Pro_pane,1710060708329813399,1.00
Pro_pane,1710060713353489382,1.00
Pro_pane,1710060718341304349,1.00
Pro_pane,1710060723362089176,1.00
Pro_pane,1710060728341219927,1.00
Pro_pane,1710060733344231127,0.00
Pro_pane,1710060738340470173,1.00
Pro_pane,1710060743344703655,2.00
Pro_pane,1710060748343377899,2.00
Pro_pane,1710060753347547938,1.00
Pro_pane,1710060758339778441,1.00
Pro_pane,1710060763346167902,0.00
Pro_pane,1710060768345670423,2.00
Pro_pane,1710060773342450476,1.00
Pro_pane,1710060778347853770,1.00
Pro_pane,1710060783346052262,0.00
Pro_pane,1710060788342545266,1.00
Pro_pane,1710060793338927780,2.00
Pro_pane,1710060798344629891,0.00
Pro_pane,1710060803342415225,1.00
Pro_pane,1710060808339372728,1.00
Pro_pane,1710060813345764152,1.00
Pro_pane,1710060818344990260,1.00
Pro_pane,1710060823350284045,0.00
Pro_pane,1710060828348959702,2.00
Pro_pane,1710060833344812276,2.00
Pro_pane,1710060838347751382,2.00
Pro_pane,1710060843348300790,2.00
Pro_pane,1710060848346650084,1.00
Pro_pane,1710060853349674146,2.00
Pro_pane,1710060858344531286,2.00
Pro_pane,1710060863365686951,1.00
Pro_pane,1710060868351541533,1.00
Pro_pane,1710060873346796292,1.00
Pro_pane,1710060878347401290,0.00
Pro_pane,1710060883349272160,2.00
Pro_pane,1710060888347978392,2.00
Pro_pane,1710060893352500593,2.00
Pro_pane,1710060898350920559,2.00
Pro_pane,1710060903352693791,1.00
Pro_pane,1710060908354716130,2.00
Pro_pane,1710060913353303835,2.00
Pro_pane,1710060918347623836,1.00
Pro_pane,1710060923348453973,2.00
Pro_pane,1710060928346962964,1.00
Pro_pane,1710060933356212760,2.00
Pro_pane,1710060938355996428,1.00
Pro_pane,1710060943348840682,1.00
Pro_pane,1710060948353080323,1.00
Pro_pane,1710060953344706555,2.00
Pro_pane,1710060958349949784,1.00
Pro_pane,1710060963349752140,0.00
Pro_pane,1710060968352674852,2.00
Pro_pane,1710060973356044491,1.00
Pro_pane,1710060978352796333,1.00
Pro_pane,1710060983349065261,0.00
Pro_pane,1710060988354587501,1.00
Pro_pane,1710060993350660443,1.00
Pro_pane,1710060998350090880,2.00
Pro_pane,1710061003362109883,1.00
Pro_pane,1710061008360210850,2.00
Pro_pane,1710061013364200348,1.00
Pro_pane,1710061018359530340,2.00
Pro_pane,1710061023362460892,1.00
Pro_pane,1710061028358860580,0.00
Pro_pane,1710061033360223699,2.00
Pro_pane,1710061038366636082,2.00
Pro_pane,1710061043373268159,1.00
Pro_pane,1710061048370853130,0.00
Pro_pane,1710061053374977207,1.00
Pro_pane,1710061058377611087,0.00
Pro_pane,1710061063374146032,0.00
Pro_pane,1710061068374200040,1.00
Pro_pane,1710061073383437628,1.00
Pro_pane,1710061078380171403,1.00
Pro_pane,1710061083374207279,0.00
Pro_pane,1710061088380763810,0.00
Pro_pane,1710061093382456197,1.00
Pro_pane,1710061098378350017,1.00
Pro_pane,1710061103389972350,1.00
Pro_pane,1710061108387403430,2.00
Pro_pane,1710061113393318093,1.00
Pro_pane,1710061118387904258,2.00
Pro_pane,1710061123386561727,0.00
Pro_pane,1710061128390913778,0.00
Pro_pane,1710061133386865917,0.00
Pro_pane,1710061138386287958,1.00
Pro_pane,1710061143390715625,2.00
Pro_pane,1710061148391555556,2.00
Pro_pane,1710061153390674882,0.00
Pro_pane,1710061158410123805,1.00
Pro_pane,1710061163401995370,0.00
Pro_pane,1710061168397634077,1.00
Pro_pane,1710061173400361011,1.00
Pro_pane,1710061178410021172,0.00
Pro_pane,1710061183404588683,1.00
Pro_pane,1710061188408603531,1.00
Pro_pane,1710061193407892993,1.00
Pro_pane,1710061198400875876,1.00
Pro_pane,1710061203402182974,2.00
Pro_pane,1710061208399856091,1.00
Pro_pane,1710061213403509523,1.00
Pro_pane,1710061218400567681,0.00
Pro_pane,1710061223404522663,2.00
Pro_pane,1710061228405460434,1.00
Pro_pane,1710061233426065515,1.00
Pro_pane,1710061238413177689,1.00
Pro_pane,1710061243436309888,0.00
Pro_pane,1710061248416859936,0.00
Pro_pane,1710061253418990519,1.00
Pro_pane,1710061258419971388,1.00
Pro_pane,1710061263426111535,1.00
Pro_pane,1710061268427572396,2.00
Pro_pane,1710061273444472611,1.00
Pro_pane,1710061278427062686,1.00
Pro_pane,1710061283430448455,0.00
Pro_pane,1710061288429201866,1.00
Pro_pane,1710061293438499020,1.00
Pro_pane,1710061298438855391,1.00
Pro_pane,1710061303436809711,1.00
Pro_pane,1710061308442565387,2.00
Pro_pane,1710061313448705514,0.00
Pro_pane,1710061318454001660,2.00
Pro_pane,1710061323446463180,2.00
Pro_pane,1710061328438642019,2.00
Pro_pane,1710061333446687870,2.00
Pro_pane,1710061338443482061,1.00
Pro_pane,1710061343444167153,1.00
Pro_pane,1710061348446802370,1.00
Pro_pane,1710061353445505595,0.00
Pro_pane,1710061358452745334,0.00
Pro_pane,1710061363463402485,0.00
Pro_pane,1710061368461648035,2.00
Pro_pane,1710061373454203056,1.00
Pro_pane,1710061378463809410,0.00
Pro_pane,1710061383472530587,1.00
Pro_pane,1710061388464095958,0.00
Pro_pane,1710061393470678450,1.00
Pro_pane,1710061398461532579,1.00
Pro_pane,1710061403467682735,0.00
Pro_pane,1710061408468303093,1.00
Pro_pane,1710061413469130044,1.00
Pro_pane,1710061418459701482,1.00
Pro_pane,1710061423465339207,1.00
Pro_pane,1710061428470058633,0.00
Pro_pane,1710061433469875448,1.00
Pro_pane,1710061438468565579,2.00
Pro_pane,1710061443467326731,1.00
Pro_pane,1710061448462857507,0.00
Pro_pane,1710061453466541259,1.00
Pro_pane,1710061458462935169,0.00
Pro_pane,1710061463464078993,2.00
Pro_pane,1710061468471175696,0.00
Pro_pane,1710061473474071975,2.00
Pro_pane,1710061478464371970,1.00
Pro_pane,1710061483480417546,1.00
Pro_pane,1710061488476328684,0.00
Pro_pane,1710061493494444945,0.00
Pro_pane,1710061498475936402,1.00
Pro_pane,1710061503494320489,2.00
Pro_pane,1710061508477052323,0.00
Pro_pane,1710061513486020256,1.00
Pro_pane,1710061518509515471,0.00
Pro_pane,1710061523499627437,1.00
Pro_pane,1710061528492287866,2.00
Pro_pane,1710061533505999100,2.00
Pro_pane,1710061538492637326,0.00
Pro_pane,1710061543500747449,0.00
Pro_pane,1710061548501369765,1.00
Pro_pane,1710061553495742916,1.00
Pro_pane,1710061558506431626,2.00
Pro_pane,1710061563500813391,1.00
Pro_pane,1710061568493888945,0.00
Pro_pane,1710061573499393352,2.00
Pro_pane,1710061578495271574,0.00
Pro_pane,1710061583497344553,1.00
Pro_pane,1710061588497760386,0.00
Pro_pane,1710061593492557210,1.00
Pro_pane,1710061598493829208,1.00
Pro_pane,1710061603498743314,2.00
Pro_pane,1710061608503952092,2.00
Pro_pane,1710061613506306020,1.00
Pro_pane,1710061618502190162,1.00
Pro_pane,1710061623504673695,0.00
Pro_pane,1710061628502258063,0.00
Pro_pane,1710061633506170991,1.00
Pro_pane,1710061638507104746,1.00
Pro_pane,1710061643499634244,2.00
Pro_pane,1710061648504921500,2.00
Pro_pane,1710061653515260966,0.00
Pro_pane,1710061658506533811,2.00
Pro_pane,1710061663516255231,0.00
Pro_pane,1710061668515252765,1.00
Pro_pane,1710061673516904340,1.00
Pro_pane,1710061678515788671,1.00
Pro_pane,1710061683519078496,0.00
Pro_pane,1710061688514680311,2.00
Pro_pane,1710061693511448203,1.00
Pro_pane,1710061698517009597,1.00
Pro_pane,1710061703513233717,1.00
Pro_pane,1710061708510682872,1.00
Pro_pane,1710061713513069291,1.00
Pro_pane,1710061718513627787,0.00
Pro_pane,1710061723523249784,2.00
Pro_pane,1710061728514520733,2.00
Pro_pane,1710061733520888602,0.00
Pro_pane,1710061738524662874,1.00
